web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,image labels,REPLACED_LABELS,"Team, sport, group activities","Enviromental attributes (recreational, fun, activities)","Product, brand attributes","Face, Skin, human expressions",goal,Raised,people,time,updates,updates-href,createdby,today,days,shares,people
1543706992-864,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/skydive-for-crisis-homeless-charity,,#N/A,#N/A, , , , ,635,521,24,Raised by 24 people in 8 months,0,,30-Mar-18,5-Dec-18,249,121,0
1543705994-486,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/brain-tumour-charity-amp-beating-lhon,https://d2g8igdw686xgo.cloudfront.net/28742072_1522427185.6992.jpg,sports water recreation endurance sports adventure leisure race fun,sports water recreation endurance sports adventure leisure race fun,0.013513514,0.013513514,0.013513514,0.959459459,635,597,23,Raised by 23 people in 8 months,0,,29-Mar-18,5-Dec-18,250,65,0
1543706078-517,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity-boxing-beginner-to-winner,https://d2g8igdw686xgo.cloudfront.net/28716400_15222719590_r.jpeg,boxing ring boxing boxing equipment contact sport sport venue boxing glove joint muscle arm pradal serey,boxing ring boxing boxing equipment contact sport sport venue boxing glove joint muscle arm pradal serey,0.011904762,0.25,0.130952381,0.607142857,254,184,18,Raised by 18 people in 8 months,0,,28-Mar-18,5-Dec-18,251,0,0
1543705793-421,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/name-a-75t,https://d2g8igdw686xgo.cloudfront.net/28707372_15222474920_r.jpeg,transport vehicle car motor vehicle,transport vehicle  vehicle  motor vehicle,0.981707317,0.006097561,0.006097561,0.006097561,95,121,14,Raised by 14 people in 8 months,1,https://www.gofundme.com/name-a-75t#updates,28-Mar-18,5-Dec-18,251,12,0
1543706552-698,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/sbhs-charity-skydive,https://d2g8igdw686xgo.cloudfront.net/28682326_15221620510_r.jpeg,child red skin toddler product girl infant baby carriage, people  red skin  people  product  people  infant baby  vehicle riage,0.008064516,0.491935484,0.008064516,0.491935484,762,356,21,Raised by 21 people in 8 months,0,,27-Mar-18,5-Dec-18,252,179,1
1543705678-378,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/the-eic-charities-2018,https://d2g8igdw686xgo.cloudfront.net/28657750_1537891579256277_r.jpeg,text product font logo orange graphic design line brand graphics clip art,text product font logo orange graphic design line brand graphics c people  art,0.009615385,0.009615385,0.009615385,0.971153846,25400,9246,172,Raised by 172 people in 8 months,0,,26-Mar-18,5-Dec-18,253,93,1
1543705716-392,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity039s-fund,https://d2g8igdw686xgo.cloudfront.net/28657254_15264747080_r.jpg,girl textile product, people  textile product,0.586538462,0.009615385,0.009615385,0.394230769,25400,3275,50,Raised by 50 people in 8 months,10,https://www.gofundme.com/charity039s-fund#updates,26-Mar-18,5-Dec-18,253,483,1
1543706321-610,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/caitlyn039s-charity-night,https://d2g8igdw686xgo.cloudfront.net/28638878_15219958240_r.jpeg,face nose head cheek selfie eye mouth forehead lip girl,face  people   people   people  selfie eye mouth  people   people   people ,0.006944444,0.006944444,0.979166667,0.006944444,254,216,11,Raised by 11 people in 8 months,1,https://www.gofundme.com/caitlyn039s-charity-night#updates,25-Mar-18,5-Dec-18,254,251,1
1543705644-365,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/the-iambethany-charity-comedy-show,https://d2g8igdw686xgo.cloudfront.net/28630114_15221835900_r.jpg,nose hairstyle forehead chin black hair human girl photo caption, people   ﻿people style  people   people  black  ﻿people   people   people  photo caption,0.009615385,0.009615385,0.009615385,0.971153846,1500,585,15,Raised by 15 people in 8 months,12,https://www.gofundme.com/the-iambethany-charity-comedy-show#updates,24-Mar-18,5-Dec-18,255,164,1
1543706059-510,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/soulcycle-charity-ride,https://d2g8igdw686xgo.cloudfront.net/28629410_15219377530_r.jpeg,black and white photography tree monochrome photography recreation monochrome outdoor play equipment fun girl child,black and white photography tree monochrome photography recreation monochrome outdoor play equipment fun  people   people ,0.484375,0.015625,0.484375,0.015625,4200,4820,53,Raised by 53 people in 8 months,0,,24-Mar-18,5-Dec-18,255,164,1
1543704962-150,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/nv3bq-chop-for-charity,https://d2g8igdw686xgo.cloudfront.net/28620244_15219040280_r.jpeg,hair human hair color hairstyle long hair girl hair coloring brown hair bangs neck, ﻿people   people   ﻿people  color  ﻿people style long  ﻿people   people   ﻿people  coloring brown  ﻿people  bangs neck,0.006493506,0.006493506,0.006493506,0.980519481,127,940,38,Raised by 38 people in 8 months,2,https://www.gofundme.com/nv3bq-chop-for-charity#updates,24-Mar-18,5-Dec-18,255,69,1
1543707190-934,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/jayme-potter-funeral-expenses,https://d2g8igdw686xgo.cloudfront.net/28580156_15217407660_r.jpeg,child product girl fun toddler organ smile play, people  product  people  fun  people  organ  people  play,0.00877193,0.00877193,0.973684211,0.00877193,10000,715,14,Raised by 14 people in 8 months,1,https://www.gofundme.com/jayme-potter-funeral-expenses#updates,22-Mar-18,5-Dec-18,257,404,1
1543705472-303,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/hnhuf-shaving-my-head-for-charity,https://d2g8igdw686xgo.cloudfront.net/28564478_15234523390_r.jpg,hair eyebrow beauty human hair color hairstyle girl black hair chin bangs fur, ﻿people   people  beauty  people   ﻿people  color  ﻿people style  people  black  ﻿people   people  bangs fur,0.009615385,0.009615385,0.971153846,0.009615385,2825,3034,101,Raised by 101 people in 8 months,1,https://www.gofundme.com/hnhuf-shaving-my-head-for-charity#updates,21-Mar-18,5-Dec-18,258,144,1
1543705960-472,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/skidrowmarathon,https://d2g8igdw686xgo.cloudfront.net/28510714_1522755107.9648.jpg,person sports running marathon recreation race individual sports long distance running physical exercise road, people  sports running marathon recreation race individual sports long distance running physical exercise road,0.145833333,0.701388889,0.006944444,0.145833333,6350,358,16,Raised by 16 people in 8 months,0,,19-Mar-18,5-Dec-18,260,21,1
1543706843-810,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/veronica-hector-fund,https://d2g8igdw686xgo.cloudfront.net/28461144_15213035490_r.jpeg,hair human hair color day head product fun forehead smile blond girl, ﻿people   people   ﻿people  color day  people  product fun  people   people  blond  people ,0.148648649,0.013513514,0.824324324,0.013513514,20000,20760,280,Raised by 280 people in 8 months,5,https://www.gofundme.com/veronica-hector-fund#updates,17-Mar-18,5-Dec-18,262,988,1
1543705851-436,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/scottscooterlevengood,https://d2g8igdw686xgo.cloudfront.net/28461440_15213063600_r.jpeg,wedding dress gown bridal clothing bride dress wedding marriage event suit groom,wedding dress gown bridal clothing bride dress wedding marriage event suit groom,0.388888889,0.018518519,0.574074074,0.018518519,10000,4730,60,Raised by 60 people in 8 months,8,https://www.gofundme.com/scottscooterlevengood#updates,17-Mar-18,5-Dec-18,262,456,0
1543705598-348,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/dwed-charity-registration-fee,https://d2g8igdw686xgo.cloudfront.net/28441586_15212168900_r.jpeg,pink sweetness confectionery heart love,pink sweetness confectionery heart love,0.018518519,0.018518519,0.018518519,0.944444444,229,229,12,Raised by 12 people in 8 months,1,https://www.gofundme.com/dwed-charity-registration-fee#updates,16-Mar-18,5-Dec-18,263,30,0
1543706378-632,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/east-africa-charity-and-orphanage,https://d2g8igdw686xgo.cloudfront.net/28445722_15212284500_r.jpeg,child community youth crowd girl, people  community youth crowd  people ,0.029411765,0.029411765,0.911764706,0.029411765,10000,1621,44,Raised by 44 people in 8 months,0,,16-Mar-18,5-Dec-18,263,2,1
1543705312-255,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/helen-bachalo-charity-drive,https://d2g8igdw686xgo.cloudfront.net/28134008_1521229014.3545.jpg,text font product product brand,text font product product brand,0.980519481,0.006493506,0.006493506,0.006493506,10000,11525,117,Raised by 117 people in 8 months,0,,15-Mar-18,5-Dec-18,264,100,0
1543706701-756,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/just-start-charity-mountain-climb,https://d2g8igdw686xgo.cloudfront.net/28414690_15211207330_r.jpeg,advertising display advertising sky travel brand tourism,advertising display advertising sky travel brand tourism,0.029411765,0.029411765,0.323529412,0.617647059,2540,2303,66,Raised by 66 people in 8 months,0,,15-Mar-18,5-Dec-18,264,294,0
1543706284-596,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/im-going-bald-for-charity,https://d2g8igdw686xgo.cloudfront.net/28378200_15241728150_r.jpg,hair eyebrow hairstyle chin forehead black hair lip long hair brown hair smile, ﻿people   people   ﻿people style  people   people  black  ﻿people   people  long  ﻿people  brown  ﻿people   people ,0.007462687,0.007462687,0.007462687,0.97761194,1143,1181,86,Raised by 86 people in 8 months,0,,14-Mar-18,5-Dec-18,265,153,1
1543706162-549,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/MicheCharlieAnna,https://d2g8igdw686xgo.cloudfront.net/28391348_15210423080_r.jpeg,wall sitting floor concrete flooring,wall sitting floor concrete flooring,0.00877193,0.798245614,0.00877193,0.184210526,381,518,31,Raised by 31 people in 8 months,0,,14-Mar-18,5-Dec-18,265,37,0
1543704968-152,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/aegon-100-stars-sarah-macdonald,https://d2g8igdw686xgo.cloudfront.net/28365402_15209567850_r.jpeg,eyebrow face cheek nose human hair color forehead chin head lip blond, people  face  people   people   people   ﻿people  color  people   people   people   people  blond,0.009615385,0.009615385,0.009615385,0.971153846,635,356,23,Raised by 23 people in 8 months,1,https://www.gofundme.com/aegon-100-stars-sarah-macdonald#updates,13-Mar-18,5-Dec-18,266,129,1
1543704533-23,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/sw6n7m-running-for-change,https://d2g8igdw686xgo.cloudfront.net/28378270_1522373720.8792.jpg,footwear shoe race joint recreation individual sports sports equipment running human leg sports,footwear shoe race joint recreation individual sports sports equipment running  people  leg sports,0.00877193,0.00877193,0.00877193,0.973684211,1000,710,15,Raised by 15 people in 8 months,0,,13-Mar-18,5-Dec-18,266,148,1
1543705522-320,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/knee-surgery-for-star,https://d2g8igdw686xgo.cloudfront.net/28360864_15209375480_r.jpeg,dog dog like mammal dog breed mammal labrador retriever dog breed group puppy snout borador retriever,dog dog like mammal dog breed mammal labrador retriever dog breed group puppy snout borador retriever,0.008064516,0.008064516,0.008064516,0.975806452,2500,545,8,Raised by 8 people in 8 months,1,https://www.gofundme.com/knee-surgery-for-star#updates,13-Mar-18,5-Dec-18,266,28,0
1543706632-729,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/Rennsteig-Helden,https://d2g8igdw686xgo.cloudfront.net/28334754_15290814300_r.jpeg,car motor vehicle vehicle automotive design automotive exterior font graphics brand hood t shirt, vehicle  motor vehicle vehicle automotive design automotive exterior font graphics brand hood t shirt,0.011904762,0.011904762,0.011904762,0.964285714,2260,2292,28,Raised by 28 people in 8 months,2,https://www.gofundme.com/Rennsteig-Helden#updates,12-Mar-18,5-Dec-18,267,175,0
1543704672-63,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/594n65s,https://d2g8igdw686xgo.cloudfront.net/28306700_15211439660_r.jpg,hair forehead hairstyle black hair human long hair wig ringlet hair coloring brown hair, ﻿people   people   ﻿people style black  ﻿people   people  long  ﻿people  wig ringlet  ﻿people  coloring brown  ﻿people ,0.008064516,0.008064516,0.975806452,0.008064516,445,502,24,Raised by 24 people in 8 months,0,,11-Mar-18,5-Dec-18,268,95,1
1543704636-52,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/59623qw,https://d2g8igdw686xgo.cloudfront.net/28312582_15240468440_r.jpg,text font logo product brand graphics product,text font logo product brand graphics product,0.403245192,0.090745192,0.012620192,0.493389423,2500,1940,29,Raised by 29 people in 8 months,1,https://www.gofundme.com/59623qw#updates,11-Mar-18,5-Dec-18,268,298,0
1543706228-574,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/JensSkyDive,https://d2g8igdw686xgo.cloudfront.net/28273482_1529574739702741_r.jpeg,tourism smile vacation girl travel tree temple recreation city fun,tourism  people  vacation  people  travel tree temple recreation city fun,0.298076923,0.682692308,0.009615385,0.009615385,1270,1067,58,Raised by 58 people in 8 months,4,https://www.gofundme.com/JensSkyDive#updates,9-Mar-18,5-Dec-18,270,175,1
1543706889-825,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/6yjbaj-african-charity-adventure-2018,https://d2g8igdw686xgo.cloudfront.net/28281914_15206266280_r.jpeg,eyewear car sunglasses vision care cool vehicle glasses luxury vehicle city car family car, glasses   vehicle  sunglasses vision  vehicle e cool vehicle glasses luxury vehicle city  vehicle   people   vehicle ,0.00877193,0.00877193,0.00877193,0.973684211,635,635,27,Raised by 27 people in 8 months,1,https://www.gofundme.com/6yjbaj-african-charity-adventure-2018#updates,9-Mar-18,5-Dec-18,270,70,1
1543706010-492,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/240-km-cycle-for-charity,https://d2g8igdw686xgo.cloudfront.net/28273458_15205998480_r.jpeg,text font line material product brand writing,text font line material product brand writing,0.814516129,0.008064516,0.169354839,0.008064516,565,627,30,Raised by 30 people in 8 months,0,,9-Mar-18,5-Dec-18,270,118,0
1543705147-205,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/coast-to-coast-charity-cycle,https://d2g8igdw686xgo.cloudfront.net/28248062_15205100020_r.jpeg,land vehicle bicycle cycling road bicycle vehicle black and white mode of transport sports equipment bicycle accessory snapshot,land vehicle bicycle cycling road bicycle vehicle black and white mode of transport sports equipment bicycle accessory snapshot,0.008064516,0.008064516,0.088709677,0.89516129,565,350,15,Raised by 15 people in 8 months,0,,8-Mar-18,5-Dec-18,271,22,0
1543705491-308,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/moped-enduro-race-for-charity,https://d2g8igdw686xgo.cloudfront.net/28248440_15220058970_r.jpg,motocross racing motorcycle racing motorsport motorcycling race track motorcycle speedway dirt track racing endurocross sports,motocross racing motorcycle racing motorsport motorcycling race track motorcycle speedway dirt track racing endurocross sports,0.009615385,0.971153846,0.009615385,0.009615385,635,366,20,Raised by 20 people in 8 months,5,https://www.gofundme.com/moped-enduro-race-for-charity#updates,8-Mar-18,5-Dec-18,271,98,0
1543706132-538,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/v2s3gr-punchestown-charity-race,https://d2g8igdw686xgo.cloudfront.net/28228228_15213119760_r.jpg,text advertising font banner signage sign,text advertising font banner signage sign,0.082089552,0.455223881,0.156716418,0.305970149,2260,2654,53,Raised by 53 people in 8 months,0,,8-Mar-18,5-Dec-18,271,198,0
1543706175-554,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/anthonys-birthday-charity,https://d2g8igdw686xgo.cloudfront.net/28225872_1520440646.5776.jpg,newspaper text newsprint font human behavior book history,newspaper text newsprint font  people  behavior book history,0,0,0,0,500,110,7,Raised by 7 people in 8 months,0,,7-Mar-18,5-Dec-18,272,119,1
1543706555-699,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/marathon-charity-run,https://d2g8igdw686xgo.cloudfront.net/28175832_15202730880_r.jpeg,marathon person running individual sports sports recreation long distance running race physical exercise half marathon,marathon  people  running individual sports sports recreation long distance running race physical exercise half marathon,0.953125,0.015625,0.015625,0.015625,500,150,11,Raised by 11 people in 9 months,0,,5-Mar-18,5-Dec-18,274,54,1
1543707197-937,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity-walk-in-memory-of-dj,https://d2g8igdw686xgo.cloudfront.net/28170890_1530619362215759_r.jpg,animal sports rein rodeo western riding stallion horse traditional sport bridle event mare,animal sports rein rodeo western riding stallion horse traditional sport bridle event mare,0.861702128,0.010638298,0.117021277,0.010638298,1270,1778,77,Raised by 77 people in 9 months,1,https://www.gofundme.com/charity-walk-in-memory-of-dj#updates,5-Mar-18,5-Dec-18,274,641,0
1543704461-2,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/albans-charity-chop,,#N/A,#N/A, , , , , £2000  , £1933 ,48,Raised by 48 people in 9 months,0,,5-Mar-18,5-Dec-18,274,39,0
1543705171-213,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/q548py-world-challenge,https://d2g8igdw686xgo.cloudfront.net/28169532_15202483690_r.jpg,hair human hair color hairstyle shoulder girl long hair black hair hair coloring back arm, ﻿people   people   ﻿people  color  ﻿people style shoulder  people  long  ﻿people  black  ﻿people   ﻿people  coloring back arm,0.00877193,0.00877193,0.00877193,0.973684211,318,282,16,Raised by 16 people in 9 months,0,,5-Mar-18,5-Dec-18,274,90,1
1543706418-647,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/57z105s,https://d2g8igdw686xgo.cloudfront.net/28133684_15200935160_r.jpg,people facial expression smile emotion senior citizen fun happiness temple laughter tree,people  people  expression  people  emotion senior citizen fun happiness temple laughter tree,0.944444444,0.018518519,0.018518519,0.018518519,500,500,17,Raised by 17 people in 9 months,1,https://www.gofundme.com/57z105s#updates,3-Mar-18,5-Dec-18,276,21,1
1543705264-241,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/big-mike-stripping-down-for-charity,https://d2g8igdw686xgo.cloudfront.net/28105144_1520017901.1973.jpg,vehicle t shirt headgear helmet sports equipment personal protective equipment sunglasses fun adventure race,vehicle t shirt  people gear helmet sports equipment  people al protective equipment sunglasses fun adventure race,0.00877193,0.00877193,0.00877193,0.973684211,1000,215,6,Raised by 6 people in 9 months,0,,2-Mar-18,5-Dec-18,277,50,1
1543704593-39,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/exotic-animal-charity-needs-help,https://d2g8igdw686xgo.cloudfront.net/28109630_15199956340_r.jpeg,cat small to medium sized cats cat like mammal whiskers paw dog breed group kitten fur carnivoran,cat small to medium sized cats cat like mammal whiskers paw dog breed group kitten fur  vehicle nivoran,0.00877193,0.00877193,0.00877193,0.973684211,12700,611,23,Raised by 23 people in 9 months,1,https://www.gofundme.com/exotic-animal-charity-needs-help#updates,2-Mar-18,5-Dec-18,277,90,0
1543707011-871,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charitytandem,https://d2g8igdw686xgo.cloudfront.net/28000728_15199966200_r.jpg,day vacation girl child fun house recreation tree plant,day vacation  people   people  fun house recreation tree plant,0,0,0,0,1016,1422,48,Raised by 48 people in 9 months,0,,2-Mar-18,5-Dec-18,277,217,1
1543706787-788,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/miss-diamond-cancer-charity,,#N/A,#N/A, , , , ,1000,1265,41,Raised by 41 people in 9 months,3,https://www.gofundme.com/miss-diamond-cancer-charity#updates,1-Mar-18,5-Dec-18,278,103,0
1543706804-795,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/helpdetroitnow,https://d2g8igdw686xgo.cloudfront.net/28071258_1519853917.4534.jpg,red mode of transport black and white sky photography computer wallpaper reflection font graphics logo,red mode of transport black and white sky photography computer wallpaper reflection font graphics logo,0.00877193,0.00877193,0.00877193,0.973684211,1000,1020,22,Raised by 22 people in 9 months,1,https://www.gofundme.com/helpdetroitnow#updates,28-Feb-18,5-Dec-18,279,104,0
1543705982-481,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/pjy65-punchestown-charity-race,https://d2g8igdw686xgo.cloudfront.net/28044092_15198121860_r.jpg,advertising fan crowd product banner competition event championship brand,advertising fan crowd product banner competition event championship brand,0.117021277,0.329787234,0.436170213,0.117021277,1130,283,9,Raised by 9 people in 9 months,0,,27-Feb-18,5-Dec-18,280,111,0
1543705053-178,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/2uusea-charity-skydive,https://d2g8igdw686xgo.cloudfront.net/28046462_15197687100_r.jpeg,nose glasses chin product forehead mouth selfie organ eyewear vision care, people  glasses  people  product  people  mouth selfie organ  glasses  vision  vehicle e,0.009615385,0.009615385,0.009615385,0.971153846,565,384,16,Raised by 16 people in 9 months,0,,27-Feb-18,5-Dec-18,280,78,1
1543705649-367,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/3kasb-charity-head-shave-pt2,https://d2g8igdw686xgo.cloudfront.net/28016920_1519673387.1292.jpg,hair facial hair eyebrow forehead nose chin hairstyle eyelash hair coloring ear, ﻿people   people   ﻿people   people   people   people   people   ﻿people style eyelash  ﻿people  coloring ear,0.418918919,0.013513514,0.554054054,0.013513514,254,172,8,Raised by 8 people in 9 months,0,,26-Feb-18,5-Dec-18,281,38,1
1543706386-634,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/taekwon-do-kicks-breakathon,https://d2g8igdw686xgo.cloudfront.net/27995526_1519591879.4836.jpg,sport venue team performance indoor games and sports competition event sports competition physical fitness physical exercise,sport venue team perfor people ce indoor games and sports competition event sports competition physical fitness physical exercise,0.554054054,0.013513514,0.418918919,0.013513514,1000,6582,45,Raised by 45 people in 9 months,5,https://www.gofundme.com/taekwon-do-kicks-breakathon#updates,25-Feb-18,5-Dec-18,282,180,1
1543704896-130,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/im-doin-a-12-marathon-for-charit,https://d2g8igdw686xgo.cloudfront.net/27991804_1519579861.5545.jpg,human hair color child head hairstyle girl product eye toddler vision care mouth, people   ﻿people  color  people   people   ﻿people style  people  product eye  people  vision  vehicle e mouth,0.980519481,0.006493506,0.006493506,0.006493506,£200,£115,7,Raised by 7 people in 9 months,0,,25-Feb-18,5-Dec-18,282,19,1
1543706374-630,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/v5wbk-charity-head-shave,https://d2g8igdw686xgo.cloudfront.net/27989690_15197637540_r.jpg,hair face eyebrow skin person nose human hair color forehead hairstyle head, ﻿people  face  people  skin  people   people   people   ﻿people  color  people   ﻿people style  people ,0.959459459,0.013513514,0.013513514,0.013513514, £1000  ,£530,43,Raised by 43 people in 9 months,2,https://www.gofundme.com/v5wbk-charity-head-shave#updates,25-Feb-18,5-Dec-18,282,547,1
1543707088-898,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/brother-of-charity-special-qlympics,https://d2g8igdw686xgo.cloudfront.net/28005308_1521099494.6949.jpg,text pc game font geological phenomenon album cover computer wallpaper poster organism advertising world,text pc game font geological phenomenon album cover computer wallpaper poster organism advertising world,0.982758621,0.005747126,0.005747126,0.005747126,1130,938,26,Raised by 26 people in 9 months,0,,25-Feb-18,5-Dec-18,282,73,0
1543704898-131,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ljv-charity-run,https://d2g8igdw686xgo.cloudfront.net/27976072_1519501947.0043.png,text font purple product violet line logo design product pattern,text font purple product violet line logo design product pattern,0.009615385,0.009615385,0.971153846,0.009615385,2000,860,12,Raised by 12 people in 9 months,0,,24-Feb-18,5-Dec-18,283,95,0
1543706761-778,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity-london-medical-expenses,https://d2g8igdw686xgo.cloudfront.net/27973416_15194919220_r.jpeg,graduation academic dress event community phd smile student public event plant diploma,graduation academic dress event community phd  people  student public event plant diploma,0.148648649,0.013513514,0.824324324,0.013513514,50000,6350,67,Raised by 67 people in 9 months,0,,24-Feb-18,5-Dec-18,283,1.1,1
1543705499-311,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/Chicagothemusical-acharityproject,https://d2g8igdw686xgo.cloudfront.net/27903562_1532290528147822_r.jpg,shoulder girl joint hand arm human body black hair finger long hair grass,shoulder  people  joint hand arm  people  body black  ﻿people  finger long  ﻿people  grass,0.008064516,0.008064516,0.975806452,0.008064516,5000,2330,27,Raised by 27 people in 9 months,0,,24-Feb-18,5-Dec-18,283,70,1
1543705532-324,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/glowintheparkrunforcharity,https://d2g8igdw686xgo.cloudfront.net/27947644_15194606330_r.jpg,heart clip art organ heart area graphics font product,heart c people  art organ heart area graphics font product,0.008064516,0.008064516,0.008064516,0.975806452,1270,1135,54,Raised by 54 people in 9 months,4,https://www.gofundme.com/glowintheparkrunforcharity#updates,23-Feb-18,5-Dec-18,284,77,1
1543706622-725,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ie43t3-charity-skydive,https://d2g8igdw686xgo.cloudfront.net/27949828_1519395236.3813.jpg,text font sky product cloud organism line graphics logo happiness,text font sky product cloud organism line graphics logo happiness,0.008064516,0.008064516,0.008064516,0.975806452,5650,5521,28,Raised by 28 people in 9 months,0,,23-Feb-18,5-Dec-18,284,43,0
1543705159-209,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity-in-need,https://d2g8igdw686xgo.cloudfront.net/27924148_1519306763.0538.jpg,wall tree wood building sky facade recreation public utility,wall tree wood building sky facade recreation public utility,0.011904762,0.011904762,0.964285714,0.011904762,5000,600,6,Raised by 6 people in 9 months,0,,22-Feb-18,5-Dec-18,285,61,0
1543705587-344,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/rrkhe-nyc-hockey-for-charity,https://d2g8igdw686xgo.cloudfront.net/27932136_15193291720_r.jpeg,team team sport competition event championship product tournament recreation,team team sport competition event championship product tournament recreation,0.008064516,0.008064516,0.008064516,0.975806452,3000,451,14,Raised by 14 people in 9 months,1,https://www.gofundme.com/rrkhe-nyc-hockey-for-charity#updates,22-Feb-18,5-Dec-18,285,73,0
