web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,image labels,REPLACED_LABELS,"Team, sport, group activities","Enviromental attributes (recreational, fun, activities)","Product, brand attributes","Face, Skin, human expressions",goal,Raised,people,time,updates,updates-href,createdby,today,days,shares,people
1543705651-368,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/12-hour-cycle-for-mind-charity,https://d2g8igdw686xgo.cloudfront.net/34477264_1542103774183553_r.jpeg,team team sport sports sport venue basketball player competition girl audience,team team sport sports sport venue basketball player competition  people  audience,0.006944444,0.979166667,0.006944444,0.006944444,127,222,12,Raised by 12 people in 18 days,0,,13-Nov-18,5-Dec-18,21,100,1
1543706592-714,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/6e7gu7k,https://d2g8igdw686xgo.cloudfront.net/34454860_1542049934909213_r.jpg,person man senior citizen fun smile product grandparent, people   people  senior citizen fun  people  product grandparent,0.029411765,0.029411765,0.029411765,0.911764706,635,592,23,Raised by 23 people in 19 days,0,,12-Nov-18,5-Dec-18,22,26,1
1543707349-995,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/wild-green-charity-battle-2018,https://d2g8igdw686xgo.cloudfront.net/34441642_1542003144211463_r.jpeg,fauna reptile ecosystem grass turtle flora tortoise common snapping turtle terrestrial animal chelydridae,fauna reptile ecosystem grass turtle flora tortoise common snapping turtle terrestrial animal chelydridae,0.015625,0.015625,0.953125,0.015625,1000,1978,164,Raised by 164 people in 19 days,0,,12-Nov-18,5-Dec-18,22,64,0
1543704599-41,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/galway-charity-cycle-for-crumlin,https://d2g8igdw686xgo.cloudfront.net/34444644_1542023975210914_r.jpeg,green text font cartoon technology design graphic design line organism circle,green text font  vehicle toon technology design graphic design line organism circle,0.006944444,0.979166667,0.006944444,0.006944444,565,277,8,Raised by 8 people in 19 days,0,,12-Nov-18,5-Dec-18,22,31,0
1543704474-6,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/mental-health-care-in-somalia,https://d2g8igdw686xgo.cloudfront.net/34448412_1542038010168021_r.jpeg,0,0, , , , ,2540,221,13,Raised by 13 people in 19 days,0,,12-Nov-18,5-Dec-18,22,14,0
1543705399-281,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/SponsorTom,https://d2g8igdw686xgo.cloudfront.net/34333210_1542283384808875_r.jpeg,man barechestedness male muscle arm chest abdomen aggression trunk, people  barechestedness male muscle arm chest abdomen aggression trunk,0.00877193,0.622807018,0.096491228,0.271929825,1270,241,12,Raised by 12 people in 23 days,0,,8-Nov-18,5-Dec-18,26,13,1
1543705556-333,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity-boxing-rumble-in-92,https://d2g8igdw686xgo.cloudfront.net/34337258_1541691537335279_r.jpeg,text black and white logo font product monochrome graphic design brand product graphics,text black and white logo font product monochrome graphic design brand product graphics,0.814516129,0.088709677,0.008064516,0.088709677,339,701,25,Raised by 25 people in 23 days,0,,8-Nov-18,5-Dec-18,26,74,0
1543707058-887,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/castlerahan-cancer-charity-night,https://d2g8igdw686xgo.cloudfront.net/34304428_1541604955629581_r.jpeg,team team sport sports sport venue grass tournament player rugby union fun football player,team team sport sports sport venue grass tournament player rugby union fun football player,0.00877193,0.00877193,0.00877193,0.973684211,4520,4571,117,Raised by 117 people in 24 days,0,,7-Nov-18,5-Dec-18,27,350,0
1543704820-107,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/movember-4x-charity-matching,https://d2g8igdw686xgo.cloudfront.net/34208650_154126959971109_r.jpeg,photograph facial expression fashion accessory smile headgear photography fun vision care glasses fedora,photograph  people  expression fashion accessory  people   people gear photography fun vision  vehicle e glasses fedora,0.586538462,0.201923077,0.009615385,0.201923077,3000,2375,18,Raised by 18 people in 24 days,0,,7-Nov-18,5-Dec-18,27,51,1
1543705974-478,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/6d2bgyo,https://d2g8igdw686xgo.cloudfront.net/34283784_1541533913797250_r.jpg,team technology games uniform vehicle race,team technology games uniform vehicle race,0.007462687,0.007462687,0.007462687,0.97761194,2540,203,18,Raised by 18 people in 25 days,0,,6-Nov-18,5-Dec-18,28,9,0
1543705087-188,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/jailbreak-for-charity-2018,https://d2g8igdw686xgo.cloudfront.net/34223342_1541437119165459_r.jpeg,red pink text font art design pattern graphics world computer wallpaper,red pink text font art design pattern graphics world computer wallpaper,0.076388889,0.493055556,0.423611111,0.006944444,191,337,16,Raised by 16 people in 26 days,0,,5-Nov-18,5-Dec-18,29,35,0
1543706540-693,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/qe57px-lauras-charities,https://d2g8igdw686xgo.cloudfront.net/34226188_1541349347908163_r.jpeg,beauty human hair color eyebrow lip girl black hair brown hair smile long hair photo shoot,beauty  people   ﻿people  color  people   people   people  black  ﻿people  brown  ﻿people   people  long  ﻿people  photo shoot,0,0,0,0,127,756,35,Raised by 35 people in 27 days,0,,4-Nov-18,5-Dec-18,30,364,1
1543706268-590,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ncs-framework,https://d2g8igdw686xgo.cloudfront.net/34202462_1541241286329145_r.jpeg,text font product logo product line area brand angle graphics,text font product logo product line area brand angle graphics,0.00877193,0.00877193,0.00877193,0.973684211,635,287,20,Raised by 20 people in 28 days,0,,3-Nov-18,5-Dec-18,31,45,0
1543707160-925,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/pieta-house-and-capuchin-day-centre,https://d2g8igdw686xgo.cloudfront.net/33974422_1542647987582112_r.jpg,advertising poster font brand graphics photo caption,advertising poster font brand graphics photo caption,0.156716418,0.007462687,0.828358209,0.007462687,226,486,27,Raised by 27 people in 28 days,0,,3-Nov-18,5-Dec-18,31,47,0
