web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time,updates,updates-href,createdby,shares
"1543713329-1679","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/acb7ys","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1547873_1402773341.0912.jpg","of $50,000 goal","$5,550","76","Raised by 76 people in 54 months","Updates   6","https://www.gofundme.com/acb7ys#updates","null","921"
"1543711511-1012","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/eog-unstuck","https://d2g8igdw686xgo.cloudfront.net/33165198_1537574398326847_r.jpeg","of $1,000 goal","$2,000","77","Raised by 77 people in 2 months","Updates   1","https://www.gofundme.com/eog-unstuck#updates","Created September 21, 2018","16"
"1543713882-1887","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/fund-the-syed-family-to-open-a-new-business","https://d2g8igdw686xgo.cloudfront.net/34912128_1543417818674536_r.jpeg","of $25,000 goal","$305","9","Raised by 9 people in 3 days","null","","Created November 28, 2018","114"
"1543711625-1053","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/givebackworkshop2","https://d2g8igdw686xgo.cloudfront.net/26262994_1513597692.8361.jpg","of $2,000 goal","$2,198","168","Raised by 168 people in 11 months","null","","Created December 15, 2017","65"
"1543712959-1547","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/2f3a9vc4","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/13034813_1468858972.7067.jpg","of $700 goal","$630","9","Raised by 9 people in 28 months","Updates   1","https://www.gofundme.com/2f3a9vc4#updates","null","107"
"1543712818-1495","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/2kxmatw","https://d2g8igdw686xgo.cloudfront.net/13909297_1480695319.8408.jpg","of $15,000 goal","$1,005","12","Raised by 12 people in 27 months","null","","null","247"
"1543713215-1641","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/gotta-stay-in-business","https://d2g8igdw686xgo.cloudfront.net/20539966_14953024030_r.jpeg","of $2,000 goal","$585","12","Raised by 12 people in 18 months","null","","Created May 20, 2017","155"
"1543711562-1031","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/keepbrianoffmygoddamnsofa","https://d2g8igdw686xgo.cloudfront.net/17887198_1485884404.1874.jpg","of $3,200 goal","$3,415","72","Raised by 72 people in 22 months","null","","null","59"
"1543713083-1590","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/KatieC","https://d2g8igdw686xgo.cloudfront.net/24321084_1506885293.4432.jpg","of $3,500 goal","$2,475","38","Raised by 38 people in 14 months","Updates   5","https://www.gofundme.com/KatieC#updates","Created October 1, 2017","100"
"1543712827-1498","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/my-whole-business-was-stolen","https://d2g8igdw686xgo.cloudfront.net/32308740_1534816261871623_r.jpeg","of $10,000 goal","$1,100","22","Raised by 22 people in 3 months","Updates   1","https://www.gofundme.com/my-whole-business-was-stolen#updates","Created August 20, 2018","108"
