web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time
"1543386660-885","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/sak48c","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/4234623_1430590786.1718.jpg","of $5,800 goal","$3,910","20","Raised by 20 people in 43 months"
"1543366362-474","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/35brhk9w","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/9094405_1455482100.9526.jpg","of $5,000 goal","$9,325","34","Raised by 34 people in 33 months"
"1543370981-640","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/xqcsr8","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/5048641_1435104694.4828.jpg","of $700,000 goal","$385","5","Raised by 5 people in 41 months"
"1543366141-419","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/little-angels-lab","https://d2g8igdw686xgo.cloudfront.net/29074182_15235054560_r.jpeg","of $30,000 goal","$100","1","Raised by 1 person in 7 months"
"1543366513-514","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/business-streaming","https://d2g8igdw686xgo.cloudfront.net/27009566_fb_1516131214.9192_funds.jpg","goal","£500","10 months","Campaign created 10 months ago"
"1543365783-325","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/hopegulu","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/6106916_1443018430.399.jpg","of $50,000 goal","$10,390","52","Raised by 52 people in 38 months"
"1543380893-798","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/tobuytheirfirstcomputer","https://d2g8igdw686xgo.cloudfront.net/29232838_15240603740_r.jpeg","of $900 goal","$210","6","Raised by 6 people in 7 months"
"1543376688-735","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/computerlabs2018-19","https://d2g8igdw686xgo.cloudfront.net/33750688_154333080958323_r.jpg","of $3,000 goal","$1,186","27","Raised by 27 people in 1 month"
"1543365620-285","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/smile4laos","https://d2g8igdw686xgo.cloudfront.net/16381970_1480455192.1956.jpg","of $5,000 goal","$2,004","25","Raised by 25 people in 24 months"
"1543374105-692","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/a-community-youth-group","https://d2g8igdw686xgo.cloudfront.net/31583282_1532430119524596_r.jpeg","of £6,500 goal","£400","15","Raised by 15 people in 4 months"
"1543379872-782","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/5gf8w0","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/816624_1385354504.8994.jpg","of $3,000 goal","$3,018","71","Raised by 71 people in 60 months"
